web-scraper-order,web-scraper-start-url,reviewer,date,review,star,res
"1614875612-2378","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Joseph Mateo","April 12, 2020","Compared to other mobile games, this one is truly a gem. It's got great gameplay and aesthetics and just works so well. Unlike other apps, this doesn't have ANY intrusive advertisements. There are only optional ads every boss if you want to double your rewards (which I choose to watch everytime). The progression in the game is just right, unlocking harder modes as you go as well as cards and effects to balance it out. Each playthrough gives about 30 mins of gameplay. Great game!","Rated 5 stars out of five stars","null"
"1614875612-3820","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ryan Santiago","November 3, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3522","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","EmoPanda","January 20, 2019","","Rated 1 stars out of five stars","null"
"1614875612-3780","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","james conde","June 25, 2020","","Rated 5 stars out of five stars","Giant NetworkJune 27, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3153","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","olssonkl","November 4, 2019","","Rated 4 stars out of five stars","null"
"1614875612-2293","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Malik Mitchell","March 3, 2020","I absolutely love this game. Amazing story amazing gameplay, very fun and addicting. I love this game and another named void tyrant! The card like type game is very appealing and the story and the amazing details to cards for every class amaze and draw me in. I hope they pump content into this because I stopped playing void tyrant because it was nothing else to do and I really hope the same doesn't happen with this game","Rated 5 stars out of five stars","null"
"1614875612-4342","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","TheMoreYouStoop","November 1, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3969","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","joe walker","May 26, 2019","","Rated 4 stars out of five stars","null"
"1614875612-3881","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","no one","October 31, 2019","","Rated 4 stars out of five stars","null"
"1614875612-1276","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jose Saldana","October 3, 2020","Entertaining and somewhat difficult but not to much just right. Would definitely say this is a sit down and be ready to spend time (approximately 30 to 45 minutes storyline) with not really a let me spend 5 minutes and be done with it kinda game yes you can always save and pick up where you left off but not as fun loses some of the trill also it has an amazing reply value I have played it about 50 time's (has different paths but basically all the same)and still get a kick out of it.","Rated 5 stars out of five stars","Giant NetworkOctober 9, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"1614875612-4274","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Oliver Shields","September 6, 2019","","Rated 2 stars out of five stars","null"
"1614875612-2618","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Raymond Kong","September 14, 2019","one of the best card games out there. one of the few games where i bought the entire package. you can play as any class usually with any number of specialty related to it. story is simple, compelling, and amazing. art is captivating and very kid friendly even if there is a darker feel to it. i wish the amnesia or shop would allow us to focus on the deck, i.e. fire/ chill focus. otherwise, awesome game. Hi game dev, can you make an expansion where you can construct using specific cards?","Rated 5 stars out of five stars","null"
"1614875612-4996","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jillian Stevens","May 6, 2019","","Rated 5 stars out of five stars","null"
"1614875612-4433","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Joe Kickass","February 19, 2019","","Rated 3 stars out of five stars","null"
"1614875612-4403","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Luis Pereira","January 22, 2019","","Rated 4 stars out of five stars","null"
"1614875612-3710","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Hiding Tsai","September 21, 2018","Witch is the weakest class due to the game leaning toward multiple small amounts of damage instead of one or 2 big hits. Small hits are countered by ""take X less damage"" but this can be countered by just buffing each small hit. Heavy hits are countered by ""only take 3 damage maximum per hit"" which has absolutely no counters.","Rated 4 stars out of five stars","null"
"1614875612-1735","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Aron Graham","October 3, 2020","","Rated 5 stars out of five stars","Giant NetworkOctober 9, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"1614875612-1791","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Lautaro Quiroga","March 25, 2019","Amazing F2P experience as a test. The game itself is very varied with lots of different enemies, each with their decks and powers. Also the final boss is really hard! The voice acting is also really good, music, UI, style, etc. Sadly I can't give this game 5 stars because once you beat that, everything is paid. Granted it's only 1 dollar, but it's for each class you want to play and so on.","Rated 4 stars out of five stars","null"
"1614875612-4588","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Shawna Brown","June 12, 2019","","Rated 5 stars out of five stars","null"
"1614875612-1173","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","K Z","October 19, 2020","This is undoubtedly the best game in the app store. Reminiscent of Slay The Spire but different enough to stand right alongside it as the best in the genre. Not quite as challenging as StS, but more accessible with leagues better graphics and overall aesthetic. Do yourself a favor and buy everything available. It's fairly cheap and every piece of DLC adds more layers to it's infinite replayability. Support these guys so we keep getting more!","Rated 5 stars out of five stars","Giant NetworkOctober 19, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"1614875612-2148","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Edgar Wong","September 19, 2018","The concept is there, but the difficulty scaling is terrible. You'd go from easy games to almost unbeatable without using hero skills (which have cooldowns based on how many people you kill). The increasing scale means that if you used a hero skill to defeat an opponent, you'd have little to no chance of defeating the next enemy.","Rated 3 stars out of five stars","null"
"1614875612-4221","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Emanon","November 6, 2018","","Rated 5 stars out of five stars","null"
"1614875612-5124","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Guiann vic Andrei Q Calbes","May 17, 2020","","Rated 4 stars out of five stars","null"
"1614875612-4456","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Terry Wilson","December 24, 2018","","Rated 5 stars out of five stars","null"
"1614875612-1992","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Diamondhead Gaming","August 8, 2020","Love the game. Only phone game I ever spent money on. However it can be riddled with (easily avoidable) glitches, the main glitch i have found is the game offering me 2 of the same blessing but it doesnt stack. An example being lightning fast reflexes (the one where you dodge and deal 6 damage) only dealing 6 damage if the game offers it to you twice. However other than that i do love the game. (Nearly done with every page in the book. Working on the ranger.)","Rated 5 stars out of five stars","Giant NetworkAugust 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4065","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Travis Stemen","March 26, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3479","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Hiroshi Arasaki","January 21, 2019","","Rated 5 stars out of five stars","null"
"1614875612-1059","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Alan Smith Penroz","February 24, 2021","","Rated 4 stars out of five stars","Giant NetworkFebruary 26, 2021We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 31,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"1614875612-3766","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Brenden Blanchard","August 28, 2019","","Rated 2 stars out of five stars","null"
"1614875612-4572","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Daniel Isai","February 24, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3478","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jeanette Chan","January 26, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3831","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Carles Colomar","April 25, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3398","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","jr 1130","March 28, 2020","","Rated 4 stars out of five stars","null"
"1614875612-2833","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Godwin Low","May 21, 2019","I bought this game around a year and a bit ago and enjoyed playing it occassionally between train rides, and after beating the game, I left it on my phone as it was quite interesting and has insane replayability value. I remember back then there wasn't any ads and that they haven't added in all this bunch of dlc. Unfortunately as I came back to the game as of today, I noticed there is now ads and that I have to pay to access the dlc. I bought the game back then, and I have to pay for it again???","Rated 2 stars out of five stars","null"
"1614875612-2230","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","randall kincer","October 25, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3163","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Dan Vercetti","January 25, 2019","","Rated 4 stars out of five stars","null"
"1614875612-4657","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Juan Carlos Vazquez Rojas","June 19, 2020","","Rated 4 stars out of five stars","Giant NetworkJune 22, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2694","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Koriania","May 15, 2019","I've lost all content that I paid for. Sdk login failure. Please advise. I was completely in love with this game. I reached out over discord, facebook, and email. The only advice I got was to log out and back in. Which isn't possible, as I'm not logged in to begin with. A paid game should get better support. Network problems from 5/11-5/14 didn't cause my issues that started weeks before that, and resolving said network issues has not resolved my sdk login failure.","Rated 1 stars out of five stars","Giant NetworkMay 15, 2019Hi, Sorry about the it, a lot of had login problem. We suffered some network problem last two days.
Now, we might have worked it out, please try it again."
"1614875612-1321","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ashley H.","October 1, 2020","Have only played for an hour or so but I really like it! One suggestion I have is that on the app if you could explain what the other locked classes do that would be helpful--I'd like to buy one or two but it doesn't say from the app what that class does. For the developer: do you have other games in the works as well? Interested!","Rated 5 stars out of five stars","Giant NetworkOctober 9, 2020Good day to you! Thank you for your feedback Because our main goal is to provide everyone with the best gaming experience, we are going to keep your input in mind."
