,date,review,star,res,clean_content,topic
3,"May 15, 2019","I've lost all content that I paid for. Sdk login failure. Please advise. I was completely in love with this game. I reached out over discord, facebook, and email. The only advice I got was to log out and back in. Which isn't possible, as I'm not logged in to begin with. A paid game should get better support. Network problems from 5/11-5/14 didn't cause my issues that started weeks before that, and resolving said network issues has not resolved my sdk login failure.",1,"Giant NetworkMay 15, 2019Hi, Sorry about the it, a lot of had login problem. We suffered some network problem last two days.
Now, we might have worked it out, please try it again.",lost content paid sdk login failur pleas advis complet love game reach discord facebook email advic got log back possibl log begin paid game get better support network problem caus issu start week resolv said network issu resolv sdk login failur,[2]
6,"May 4, 2020","this game was originally a game you could play offline, but now I need wifi in order to play which is annoying. a lot of times through the week I dont have wifi and this game was my entertainment. if I cant play offline I'm probably just going to end up deleting it because that's the time I played most often.",2,"Giant NetworkMay 4, 2020Hello, dear Madi. Thanks for your comment. You only need to download some resources with WiFi, and then you can play offline. We apologize for any inconvenience caused. Thanks for your understanding and supporting. Have fun gaming!❤️",game origin game could play offlin need wifi order play annoy lot time week dont wifi game entertain cant play offlin probabl go end delet time play often,[1]
7,"October 30, 2020","The Nature Spirit boss fight is hella buggy. After lose and in need to watch the ads to ressurect, the game freeze after i finished watching the ads. So l need to force closed the game in the end. Then after i finally managed to almost killed the boss, the game freeze when i try to use a card. And ofc, after force closed, i need to RESTART THE WHOLE BATTLE! It happened twice, I can't win. If these bugs are specific to certain phone spec like my Realme pro 3, then i might consider uninstall.",3,"Giant NetworkOctober 30, 2020We are sorry to hear that you feel this way. Please send us a screenshot of the game: nofmgame@hotmail.com",natur spirit boss fight hella buggi lose need watch ad ressurect game freez finish watch ad l need forc close game end final manag almost kill boss game freez tri use card ofc forc close need restart whole battl happen twice win bug specif certain phone spec like realm pro might consid uninstal,[0]
10,"September 10, 2020","Wish there was at least 2 other classes & paths we can play, really disappointing short game for free player. Like other card games every class is unlock except for 1, why couldn't this card game be like that? Sigh this game is taken over by greed & it shows. You'd probably have over 5m downloaded if this game more had classes & paths. For real just think of how fun free players have, I know there's more free players than buyers! We probably make you more $ than paid players via ad. Damn it",2,"Giant NetworkSeptember 11, 2020Thank you for supporting us! We appreciate it so much! The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!",wish least class path play realli disappoint short game free player like card game everi class unlock except card game like sigh game taken greed show probabl download game class path real think fun free player know free player buyer probabl make paid player via ad damn,[1]
11,"November 25, 2020","Good game. Still has glitches after beta. You cannot have more than a specific number of cards in your hand at the end of your turn. The game forces you to discard all remaining cards until you reach the maximum allowed at the end of the turn. There are deck and card options that will cause duplicate or extra cards to generate on an attack or action. This causes a bug during the discard period. The game will only allow you to select two cards to discard, preventing end of turn.",4,"Giant NetworkNovember 27, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!",good game still glitch beta cannot specif number card hand end turn game forc discard remain card reach maximum allow end turn deck card option caus duplic extra card gener attack action caus bug discard period game allow select two card discard prevent end turn,"[0, 2, 1]"
12,"September 15, 2020","I had good fun with this. There seems to be a lot of gameplay, and it's a fun card battler, where you get chances to add stronger attacks to your deck and weed out bad ones over time. My only complaint is that I think the rating could use a ""Suggestive Themes"" tag, as there were a number of feminine enemies with low-cut outfits, from what I recall.",4,"Giant NetworkSeptember 18, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~",good fun seem lot gameplay fun card battler get chanc add stronger attack deck weed bad one time complaint think rate could use suggest theme tag number feminin enemi low cut outfit recal,"[1, 2]"
13,"February 2, 2021",Look I start playing this game and I said .. hmm it is ok then I realised that I keep playing the game again and again ... So my resume: the game is amazing. Absolutely stunning in every way but.. the game ends too soon.. I mean you build a deck you play until volume 3 you fight two bosses and then it is over.... And start again.. I want more MORE fun more volumes.. when I build a deck I don't want it to end so soon. Fix it I give you 5 star if u do this too. Great job on the game until now.,4,"Giant NetworkFebruary 9, 2021We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 31,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!",look start play game said hmm ok realis keep play game resum game amaz absolut stun everi way game end soon mean build deck play volum fight two boss start want fun volum build deck want end soon fix give star u great job game,[1]
16,"February 26, 2021",I liked the game a lot but it forgot my purchase of the diaries mode often. I was correcting this everytime i started the game by going to repurchase it again and the game would recognize I had already bought it. Now it is just asking me to buy it again despite being in the middle of a run. It was fun while it worked but I'm not going to buy the mode I enjoy better twice.,1,"Giant NetworkMarch 2, 2021Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!",like game lot forgot purchas diari mode often correct everytim start game go repurchas game would recogn alreadi bought ask buy despit middl run fun work go buy mode enjoy better twice,[2]
17,"April 29, 2020","It was really fun. Buuuuut. It takes a very long time to download. It also takes some starting and restarting to actually get the game to work , and there is only one free character. The rest you have to pay for. And quite it was fun, the one character (the knight) doesn't provide any real versatile game play. Its a shame, really",2,"Giant NetworkApril 30, 2020Greetings! Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do feel free to contact us on FB: https://www.facebook.com/NightofFullMoonCardGame/ for further inquiries. Do enjoy the game and please rate for us again! Thank you :D",realli fun buuuuut take long time download also take start restart actual get game work one free charact rest pay quit fun one charact knight provid real versatil game play shame realli,"[1, 0]"
18,"February 7, 2021",I almost gave it five stars but the combat balance is garbage. I can't even get through the first chapter without needing to fight some dude that finds a way to insta kill me after a few rounds. Only way I've gotten past him is by restarting the game and hoping I get lucky this time. Other then that I genuinely enjoy it,4,"Giant NetworkFebruary 9, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",almost gave five star combat balanc garbag even get first chapter without need fight dude find way insta kill round way gotten past restart game hope get lucki time genuin enjoy,[2]
19,"July 29, 2020","What I really like about this game is the visuals and challenges it gives. Some parts of the game is rng and requires some strategy which I really enjoy. It's a good card game, but it kinda bothers me that you get only the knight class for free while the rest cost a dollar to unlock. I would understand if the new classes added cost a dollar, but I think a free tryout for each class would be nice to see if someone wants to buy the class.",4,"Giant NetworkJuly 30, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",realli like game visual challeng give part game rng requir strategi realli enjoy good card game kinda bother get knight class free rest cost dollar unlock would understand new class ad cost dollar think free tryout class would nice see someon want buy class,[2]
21,"April 22, 2020","Good basis for a fun game but most of the actions have to be bought. You only get the one pack and then the rest of the game has to be completely bought. The boss level is hard to do with the cards they give, one small decision on what you want to upgrade can change the entire game. It ridiculous that even after farming and killing each monster in every level you still cannot buy cards or anything to upgrade the cards. The expansion packs of course are only for purchase. I am dissatisfied.",2,"Giant NetworkApril 22, 2020Hello, We are sorry that you do not like the game but we thank you for your feedback. Our future updates will improve the game for you.",good basi fun game action bought get one pack rest game complet bought boss level hard card give one small decis want upgrad chang entir game ridicul even farm kill monster everi level still cannot buy card anyth upgrad card expans pack cours purchas dissatisfi,[1]
24,"October 30, 2020","I've enjoyed the story and game play. Paying twice to get rid of ads was a bit silly so only four stars. Adding to the above, this game has a lot of card descriptions that do not hold up. Example Multiplying Bullet states: Deal damage X. Draw 1 card. What it actually does is not just draw a card, but also play it. This is crucial information if you are trying to do combo decks.",4,"Giant NetworkJuly 13, 2020Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D",enjoy stori game play pay twice get rid ad bit silli four star ad game lot card descript hold exampl multipli bullet state deal damag x draw card actual draw card also play crucial inform tri combo deck,"[2, 1]"
