date,review,star,res
"October 3, 2020",Entertaining and somewhat difficult but not to much just right. Would definitely say this is a sit down and be ready to spend time (approximately 30 to 45 minutes storyline) with not really a let me spend 5 minutes and be done with it kinda game yes you can always save and pick up where you left off but not as fun loses some of the trill also it has an amazing reply value I have played it about 50 time's (has different paths but basically all the same)and still get a kick out of it.,5,"Giant NetworkOctober 9, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"October 19, 2020","This is undoubtedly the best game in the app store. Reminiscent of Slay The Spire but different enough to stand right alongside it as the best in the genre. Not quite as challenging as StS, but more accessible with leagues better graphics and overall aesthetic. Do yourself a favor and buy everything available. It's fairly cheap and every piece of DLC adds more layers to it's infinite replayability. Support these guys so we keep getting more!",5,"Giant NetworkOctober 19, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"August 8, 2020","Love the game. Only phone game I ever spent money on. However it can be riddled with (easily avoidable) glitches, the main glitch i have found is the game offering me 2 of the same blessing but it doesnt stack. An example being lightning fast reflexes (the one where you dodge and deal 6 damage) only dealing 6 damage if the game offers it to you twice. However other than that i do love the game. (Nearly done with every page in the book. Working on the ranger.)",5,"Giant NetworkAugust 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"May 15, 2019","I've lost all content that I paid for. Sdk login failure. Please advise. I was completely in love with this game. I reached out over discord, facebook, and email. The only advice I got was to log out and back in. Which isn't possible, as I'm not logged in to begin with. A paid game should get better support. Network problems from 5/11-5/14 didn't cause my issues that started weeks before that, and resolving said network issues has not resolved my sdk login failure.",1,"Giant NetworkMay 15, 2019Hi, Sorry about the it, a lot of had login problem. We suffered some network problem last two days.
Now, we might have worked it out, please try it again."
"October 1, 2020",Have only played for an hour or so but I really like it! One suggestion I have is that on the app if you could explain what the other locked classes do that would be helpful--I'd like to buy one or two but it doesn't say from the app what that class does. For the developer: do you have other games in the works as well? Interested!,5,"Giant NetworkOctober 9, 2020Good day to you! Thank you for your feedback Because our main goal is to provide everyone with the best gaming experience, we are going to keep your input in mind."
"November 20, 2020","Genios work. Very simple but interesting game play, very different tactics available and amazing art. Even story, although short and based on known tale, still interesting to follow. Big thanks to developers, your work inspiring! Also, very good policy about manitisation. Although there are adds, they are not overwhelming and you can avoid them without negative affect on game play. You can support developers buy purchasing new content and it is first mobile game where I did so. I do suggest it!",5,"Giant NetworkNovember 24, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"May 4, 2020","this game was originally a game you could play offline, but now I need wifi in order to play which is annoying. a lot of times through the week I dont have wifi and this game was my entertainment. if I cant play offline I'm probably just going to end up deleting it because that's the time I played most often.",2,"Giant NetworkMay 4, 2020Hello, dear Madi. Thanks for your comment. You only need to download some resources with WiFi, and then you can play offline. We apologize for any inconvenience caused. Thanks for your understanding and supporting. Have fun gaming!❤️"
"October 30, 2020","The Nature Spirit boss fight is hella buggy. After lose and in need to watch the ads to ressurect, the game freeze after i finished watching the ads. So l need to force closed the game in the end. Then after i finally managed to almost killed the boss, the game freeze when i try to use a card. And ofc, after force closed, i need to RESTART THE WHOLE BATTLE! It happened twice, I can't win. If these bugs are specific to certain phone spec like my Realme pro 3, then i might consider uninstall.",3,"Giant NetworkOctober 30, 2020We are sorry to hear that you feel this way. Please send us a screenshot of the game: nofmgame@hotmail.com"
"June 6, 2020",Edit revised. I finally beat Grandma! YES! I've added the other paid features. I'm very impressed and happy with the game. The price is fare. Not tricks. One time + extra if you want. But not overly pay to play! So I really respect that fact. You can play free. ads are worth watching to double the gold award! fun all around. After playing for months it's my #1 all time favorite card games. Voices are hilarious. Diaries add on awesome! Please add more chapters. Game deserves a sequel! Well done!,5,"Giant NetworkMay 25, 2020Hello. Thank you for supporting us! You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"January 21, 2021","I'm very choice with my reviews. But this game deserves it. I've literally been playing it for years. YEAAAAAARS! Super fun roguelike with a lot of replayability that you can learn for a challenge or even play casually. I will say there is paid dlc, but im pretty sure you pay like 10 dollars total for all classes and the expanses and for the content, I'd compare it to slay the spire. I'd say even better. In my mind amongst my favourite rogue lites.",5,"Giant NetworkJanuary 22, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"September 10, 2020","Wish there was at least 2 other classes & paths we can play, really disappointing short game for free player. Like other card games every class is unlock except for 1, why couldn't this card game be like that? Sigh this game is taken over by greed & it shows. You'd probably have over 5m downloaded if this game more had classes & paths. For real just think of how fun free players have, I know there's more free players than buyers! We probably make you more $ than paid players via ad. Damn it",2,"Giant NetworkSeptember 11, 2020Thank you for supporting us! We appreciate it so much! The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!"
"November 25, 2020","Good game. Still has glitches after beta. You cannot have more than a specific number of cards in your hand at the end of your turn. The game forces you to discard all remaining cards until you reach the maximum allowed at the end of the turn. There are deck and card options that will cause duplicate or extra cards to generate on an attack or action. This causes a bug during the discard period. The game will only allow you to select two cards to discard, preventing end of turn.",4,"Giant NetworkNovember 27, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"September 15, 2020","I had good fun with this. There seems to be a lot of gameplay, and it's a fun card battler, where you get chances to add stronger attacks to your deck and weed out bad ones over time. My only complaint is that I think the rating could use a ""Suggestive Themes"" tag, as there were a number of feminine enemies with low-cut outfits, from what I recall.",4,"Giant NetworkSeptember 18, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
"February 2, 2021",Look I start playing this game and I said .. hmm it is ok then I realised that I keep playing the game again and again ... So my resume: the game is amazing. Absolutely stunning in every way but.. the game ends too soon.. I mean you build a deck you play until volume 3 you fight two bosses and then it is over.... And start again.. I want more MORE fun more volumes.. when I build a deck I don't want it to end so soon. Fix it I give you 5 star if u do this too. Great job on the game until now.,4,"Giant NetworkFebruary 9, 2021We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 31,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"May 28, 2020","A seriously good game. One of the few I have paid money for, having bought the collectors edition. Hell, If the devs ever considered producing it, I would even buy a physical copy of this card game I'm enjoying it that much! Edit- after following the advice in your reply to delete the obb file seems to have squashed the freeze/crash bug I had after the last update so back to 5*",5,"Giant NetworkMay 25, 2020Sorry for the problem. You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）. If can not sovle it, please sent the screenshot to our email: nofmgame@hotmail.com."
