,date,review,star,res,clean_content,topic
3,"May 15, 2019","I've lost all content that I paid for. Sdk login failure. Please advise. I was completely in love with this game. I reached out over discord, facebook, and email. The only advice I got was to log out and back in. Which isn't possible, as I'm not logged in to begin with. A paid game should get better support. Network problems from 5/11-5/14 didn't cause my issues that started weeks before that, and resolving said network issues has not resolved my sdk login failure.",1,"Giant NetworkMay 15, 2019Hi, Sorry about the it, a lot of had login problem. We suffered some network problem last two days.
Now, we might have worked it out, please try it again.",giant networkmay hi sorri lot login problem suffer network problem last two day might work pleas tri,[0]
6,"May 4, 2020","this game was originally a game you could play offline, but now I need wifi in order to play which is annoying. a lot of times through the week I dont have wifi and this game was my entertainment. if I cant play offline I'm probably just going to end up deleting it because that's the time I played most often.",2,"Giant NetworkMay 4, 2020Hello, dear Madi. Thanks for your comment. You only need to download some resources with WiFi, and then you can play offline. We apologize for any inconvenience caused. Thanks for your understanding and supporting. Have fun gaming!❤️",giant networkmay hello dear madi thank comment need download resourc wifi play offlin apolog inconveni caus thank understand support fun game,"[1, 4]"
7,"October 30, 2020","The Nature Spirit boss fight is hella buggy. After lose and in need to watch the ads to ressurect, the game freeze after i finished watching the ads. So l need to force closed the game in the end. Then after i finally managed to almost killed the boss, the game freeze when i try to use a card. And ofc, after force closed, i need to RESTART THE WHOLE BATTLE! It happened twice, I can't win. If these bugs are specific to certain phone spec like my Realme pro 3, then i might consider uninstall.",3,"Giant NetworkOctober 30, 2020We are sorry to hear that you feel this way. Please send us a screenshot of the game: nofmgame@hotmail.com",giant networkoctob sorri hear feel way pleas send us screenshot game nofmgam hotmail com,[3]
10,"September 10, 2020","Wish there was at least 2 other classes & paths we can play, really disappointing short game for free player. Like other card games every class is unlock except for 1, why couldn't this card game be like that? Sigh this game is taken over by greed & it shows. You'd probably have over 5m downloaded if this game more had classes & paths. For real just think of how fun free players have, I know there's more free players than buyers! We probably make you more $ than paid players via ad. Damn it",2,"Giant NetworkSeptember 11, 2020Thank you for supporting us! We appreciate it so much! The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!",giant networkseptemb thank support us appreci much payment part unavoid ad futur game develop thank understand support fun game,[2]
11,"November 25, 2020","Good game. Still has glitches after beta. You cannot have more than a specific number of cards in your hand at the end of your turn. The game forces you to discard all remaining cards until you reach the maximum allowed at the end of the turn. There are deck and card options that will cause duplicate or extra cards to generate on an attack or action. This causes a bug during the discard period. The game will only allow you to select two cards to discard, preventing end of turn.",4,"Giant NetworkNovember 27, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!",giant networknovemb happi hear fun play game pleas sure rate us star like free content honor sure join fan fb http www facebook com nightoffullmooncardgam fun,[0]
12,"September 15, 2020","I had good fun with this. There seems to be a lot of gameplay, and it's a fun card battler, where you get chances to add stronger attacks to your deck and weed out bad ones over time. My only complaint is that I think the rating could use a ""Suggestive Themes"" tag, as there were a number of feminine enemies with low-cut outfits, from what I recall.",4,"Giant NetworkSeptember 18, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~",giant networkseptemb thank feedback rich game content collect explor variou activ hope tri game confid game attract enough wish happi game,[4]
13,"February 2, 2021",Look I start playing this game and I said .. hmm it is ok then I realised that I keep playing the game again and again ... So my resume: the game is amazing. Absolutely stunning in every way but.. the game ends too soon.. I mean you build a deck you play until volume 3 you fight two bosses and then it is over.... And start again.. I want more MORE fun more volumes.. when I build a deck I don't want it to end so soon. Fix it I give you 5 star if u do this too. Great job on the game until now.,4,"Giant NetworkFebruary 9, 2021We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 31,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!",giant networkfebruari happi hear fun play game pleas sure rate us star like free content honor sure join fan fb http www facebook com nightoffullmooncardgam fun,[0]
16,"February 26, 2021",I liked the game a lot but it forgot my purchase of the diaries mode often. I was correcting this everytime i started the game by going to repurchase it again and the game would recognize I had already bought it. Now it is just asking me to buy it again despite being in the middle of a run. It was fun while it worked but I'm not going to buy the mode I enjoy better twice.,1,"Giant NetworkMarch 2, 2021Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!",giant networkmarch pleas send uid gpa email nofmgam hotmail com solv soon possibl thank,[3]
17,"April 29, 2020","It was really fun. Buuuuut. It takes a very long time to download. It also takes some starting and restarting to actually get the game to work , and there is only one free character. The rest you have to pay for. And quite it was fun, the one character (the knight) doesn't provide any real versatile game play. Its a shame, really",2,"Giant NetworkApril 30, 2020Greetings! Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do feel free to contact us on FB: https://www.facebook.com/NightofFullMoonCardGame/ for further inquiries. Do enjoy the game and please rate for us again! Thank you :D",giant networkapril greet thank support us apolog inconveni caus promis give better game experi futur feel free contact us fb http www facebook com nightoffullmooncardgam inquiri enjoy game pleas rate us thank,"[3, 4]"
18,"February 7, 2021",I almost gave it five stars but the combat balance is garbage. I can't even get through the first chapter without needing to fight some dude that finds a way to insta kill me after a few rounds. Only way I've gotten past him is by restarting the game and hoping I get lucky this time. Other then that I genuinely enjoy it,4,"Giant NetworkFebruary 9, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkfebruari welcom join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
